,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
67,CH4411,0.0,67,-69.43219122033942,16.54218241750565,-5.54349609315015,1.3393684492816558,25.01328383970856,15.34665418772164
68,CH4418,0.0,68,-36.481985888804424,19.297465739552706,11.188482974700793,-0.6913809970635665,-54.345030257994026,13.337917868289999
69,CH4433,0.0,69,-48.291988670521874,-1.9974045566999366,-0.5543658778112246,-4.154676457836624,-17.61461592605601,-16.89071202016568
71,CH4443,0.0,71,-95.10469141840812,16.76892499891633,-8.504430574858919,9.534738138778632,32.20899194918721,15.14040987403449
73,CH4489,1.0,73,-28.236195041223635,-23.50727347948382,1.1080375569217589,-9.00827702296136,-25.260107591559514,-38.18047726735034
74,CH4509,0.0,74,-81.28058471174982,-7.1276257989423595,-6.698034880036422,-1.3360881568535588,31.067029458386923,-4.653108979244465
75,CH4520,0.0,75,-73.94320147168811,-18.944089652071195,-5.877310895992823,5.741748875179859,26.5461589066017,-0.4614835185118338
77,CH4548,0.0,77,-43.98071920310497,-0.416920924148491,22.246451389621757,4.27005049234875,-65.13286877453834,28.69576066699544
79,CH4560,1.0,79,-1.8956860027569187,-2.6691387777737994,17.412403469187243,3.945075868430534,-56.09549253807431,11.472900000450743
80,CH4584,1.0,80,25.28389361378512,-15.545155895845019,-5.2383437378274165,-3.2890761914830042,24.40842199872772,-10.365609656702894
82,CH4602,0.0,82,-69.72107244604733,-30.847491875986904,20.23584132521595,4.052850917627163,-64.6419389190937,27.994720968748965
83,CH4634,1.0,83,-87.29769364470548,27.02679744472759,4.047540568741363,-0.41773109178355305,-30.076925942789163,-24.12430875661209
84,CH4681,0.0,84,-95.01978744813056,-18.294274356092558,-6.363162065485966,-3.083638474996505,29.556669618441273,-10.170915194212881
85,CH4684,0.0,85,-49.38201634265575,-6.348729605517292,-3.7705709835088483,-5.544999725017288,0.1827720674257911,-15.252278323669017
86,CH4703,1.0,86,20.087128788846673,-1.9701669500656418,-6.039674323244908,-1.9727312395708099,26.31521918030354,2.5901616552564164
87,CH4704,1.0,87,-30.337146580969637,-28.720295383538232,-6.0204416173772355,-3.7441193593236575,27.884009222221426,-6.5556988184566265
88,CH4733,0.0,88,-32.897805727615506,17.54328219031504,-5.275997543683095,-0.2857656186895916,22.349197277408816,14.090373389192067
89,CH4745,1.0,89,16.17368069666259,-30.59226698454989,22.09525512496095,4.546674834901509,-65.15778700177171,28.746680992244023
90,CH4755,1.0,90,44.13567143323705,-28.924779091007434,-3.954371691633253,3.7920312834456524,28.595372654773737,6.874669879444468
91,CH4757,1.0,91,-13.252481811072528,-18.847329673013476,1.4038728568250942,-7.381019318917868,-29.079681529925413,-45.877703479423175
92,CH4766,1.0,92,26.75043150206025,-1.432909065855699,-4.323961699046285,-3.455140660388727,18.931528874131086,-0.272558331544424
93,CH4780,1.0,93,13.73473493842335,-8.05247592844646,-4.643019148191929,-5.589515098006208,10.313608357133251,-14.32632337042218
94,CH4785,1.0,94,8.332420530585225,-24.79211717832087,-5.321778273733717,4.893905558626992,26.516552117023732,-1.3299943979137154
95,CH4840,1.0,95,-6.390699423320409,-42.72296345632747,-3.562724212945078,-0.43090371357845214,24.719575287516715,12.392061371103573
96,CH4860,1.0,96,3.71147060649878,-30.193686625014067,-4.031459969375974,2.763670538476367,29.076834289069172,8.164217783103588
97,CH4862,1.0,97,31.608985796879413,-4.92544981707554,0.94527174142083,-7.099066962414904,-26.34030851424585,-27.399678898741907
98,CH4877,1.0,98,33.67455294059659,-14.369839038623335,4.513259870656668,-3.2197697704169457,-38.96437285719624,-10.42834052209512
100,CH4891,0.0,100,-28.618478059545748,-9.720445464885646,-4.460677766623123,1.8971204711054028,28.991299970652097,10.092259311893756
101,CH4914,0.0,101,-124.04797110136154,-20.319805673089338,-3.014830325726857,1.6981238761887951,19.610458465552934,7.8833888579689955
102,CH4916,1.0,102,10.091690138066284,-28.752149844897353,20.86338811789782,4.539150367248714,-64.5739341351163,27.825783177936103
103,CH4990,1.0,103,-59.1041578648998,37.53478829547583,-7.8914842038792425,10.182983120334164,29.172108844983068,23.626600924019684
105,CH5022,1.0,105,-8.599840353534978,-14.439126802192519,19.73846822663015,4.814288003804755,-56.45770726974264,15.321031633629573
107,CH5066,0.0,107,-15.042661487349326,15.37428913023537,-6.255530510567409,-1.858488393978817,28.778704973492825,-5.840319169513236
