,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
157,ESP031,0.0,157,8.926579299319988,21.674988405555023,0.4769538155195612,-0.6847974927749183,-4.693556069879737,-5.659983168284782
158,ESP032,0.0,158,-32.359479525754665,26.367868201650406,-2.5284229307690724,-3.9416746629950996,11.44107390214807,-12.99276276687317
159,ESP033,0.0,159,-12.27929930594403,6.333651457441906,1.3730501117684337,-7.609979583037186,-25.217634350068955,-36.38341284693935
160,ESP034,0.0,160,-4.00607612149211,-10.029561445412455,-2.825473313949403,-5.313602846426257,-1.3749475935137703,-13.87537632366373
161,ESP035,0.0,161,-7.258069396991995,-10.962203210910394,-6.003374497205225,-5.570919232160325,22.80755710306999,-5.605348335580921
162,ESP036,0.0,162,-2.8710370350264927,-11.759198491989027,-5.217092563365762,-3.4547497121368718,28.18035000768044,-9.143825680030083
163,ESP037,0.0,163,-24.224210502313603,-4.941153478410801,1.511627496408273,-5.734627373072205,-27.522326530372233,-32.02779643758331
165,ESP039,1.0,165,113.26897057949894,63.38184104382541,-3.508312715275117,-4.030797942906431,3.2248070535931745,-10.01275392850497
166,ESP040,1.0,166,100.56040380227488,50.700737632417855,-3.500709234180274,-3.972237959491573,3.212374211867971,-10.115554159652504
167,ESP043,1.0,167,80.75810568021812,71.0817038751769,-5.644973812205968,20.295834123351867,29.755599602041627,14.746651027674659
168,ESP044,0.0,168,38.838390992196324,41.09273435477862,-6.170952434973487,-2.627015405938617,28.4980230226576,-2.447779954431077
169,ESP046,0.0,169,-2.774793555898537,-11.10466888833878,-1.0101684716517254,-7.115727580906842,-21.20145645158506,-34.34430677333951
170,ESP047,1.0,170,55.92427612633398,56.96821402591212,-6.798452540370205,23.059679215755814,29.60904251469365,14.381762563205875
171,ESP050,1.0,171,11.947682727157066,-29.733789166586458,0.8545254191158782,-7.050166435599319,-25.63143497385323,-35.83345859360866
172,ESP053,1.0,172,-25.721383694086022,36.72203702241331,15.580629344706924,-2.9255877190091937,-56.50982224327272,9.24934790853004
173,ESP055,0.0,173,-0.2627542928705065,-26.569836925322022,-4.391427216707999,0.37979777519405467,27.492384004807207,5.871260166687534
175,ESP058,0.0,175,3.8081261363059533,-24.03565085608565,-6.785670280780658,-3.399553646659813,31.90356603884181,-7.6654452857229955
176,ESP059,1.0,176,-7.22116035013323,-33.16489938901367,-6.928466858562759,-2.9977288876101493,29.495017534408525,-5.653984990408674
177,ESP060,0.0,177,-26.1370948481363,-11.49828354736583,-5.671525933321575,4.000219454824364,24.21845589782002,16.780874526430246
178,ESP061,1.0,178,39.953195367702676,58.93345220345749,-5.7952538056617255,23.090320429229138,28.831554636151438,13.82897127248193
179,ESP063,1.0,179,6.974238553194272,-12.25351737262397,-6.350775088486672,24.00020321628716,29.34597321537683,14.185965289957721
180,ESP064,1.0,180,-7.011210420903167,-35.62060910732028,-4.80322175846271,4.148643861686713,20.584036180645974,26.234924609502265
181,ESP066,1.0,181,-71.87845840098406,29.225899029687007,-5.6346532401563465,22.976356962792387,29.233721223535788,14.560329235890826
182,ESP067,0.0,182,-114.10731507005255,-2.0071495831328034,-6.625890553145146,-2.819540451409882,27.020546540985833,-5.409636688488192
183,ESP068,1.0,183,-126.60890913751729,46.67727367549319,17.340895427386847,0.325833968574603,-58.26849760663827,19.97938035686942
184,ESP069,1.0,184,-107.40875517465119,33.48180999227055,-4.994679235707304,4.547133860997626,20.84531439687769,25.516276204670525
185,ESP070,1.0,185,-75.88517146690904,-0.05804690417569775,5.673432518343836,-0.15502494861149607,-31.410202510942057,-27.117137831866334
186,ESP071,1.0,186,-79.18939416586308,-19.365388466405957,-6.199681900201313,23.76264364702267,29.33417946928445,12.90015374489441
187,ESP072,0.0,187,-90.3170391710429,11.383683907280304,-5.743864051013221,-6.271039525539836,25.462949532213216,-8.341728317777616
188,ESP073,1.0,188,-91.60605282982522,-6.943912382703123,-5.757930250984691,-6.1558538441526025,26.40775786408453,-10.240234523056202
189,ESP074,1.0,189,-97.22685688892537,0.21348609931368212,-6.026803898199093,23.463117028559203,29.285123121999987,13.277980495911095
190,ESP075,1.0,190,-49.64594931255439,-13.216593755940599,0.41164995121750625,-8.575017079367383,-27.614021646919223,-26.442831357525588
191,ESP076,0.0,191,-33.27571679975416,30.68770766785126,0.39774235434738126,-8.735573563813027,-27.083572608865385,-27.11378122279091
192,ESP077,0.0,192,4.658774022044405,-7.440680229639442,-2.8535642896779425,-6.059232132241493,-15.332031159607364,-24.201757220090837
193,ESP078,1.0,193,-14.913553375817093,25.388569514577778,-4.89579905247248,4.23962349772132,20.605887478761602,23.488025333113548
194,ESP079,1.0,194,-45.24505026379658,20.276607576094307,-6.121288825937495,23.793411749037062,29.43782454394171,14.699141116655866
196,ESP082,1.0,196,-67.96535866136344,26.131506056267135,-6.130020429962232,23.99805161765355,29.499258102881157,13.556886525567975
197,ESP083,1.0,197,-45.61877857158942,20.63608772387279,-6.180180455642785,23.661443251009267,29.684360110803453,14.604552211069645
198,ESP084,1.0,198,-64.30416139013026,25.174759374323987,-4.948141889093899,4.318585389159386,20.2134887165739,26.55359341048956
199,ESP088,1.0,199,-50.98255721395956,17.16981229098773,-6.2475181776736415,23.36238060129199,29.214086448920064,13.1511514649604
200,ESP091,1.0,200,-28.04945885298474,19.21831895992464,17.198234803542686,-0.09730228729524626,-57.651765212429304,18.43938513245879
201,F1659,1.0,201,54.71218094045293,39.692742847006784,2.535149527960688,-1.200730247231137,-28.32449992826847,-28.138695616109857
202,F1688,1.0,202,16.570707627654055,-11.992575926116192,-6.190166782237443,-5.461162554865206,28.49433396811459,-10.63008089330041
203,F1689,1.0,203,-3.7382575053281566,-37.39360722876784,-6.197193351926608,-5.6703034598094,28.364221671501873,-10.472027953129093
204,F1697,1.0,204,-0.29883291921535904,25.85926203362019,20.350896993397345,3.2068225879281744,-61.6038995997139,25.55326898060293
206,F1712,1.0,206,-25.85075370772838,-5.812400456366905,-5.870346184818545,22.212627929207308,29.8261148663397,14.927494642992933
207,F1724,1.0,207,-21.185876704577908,12.251271776979676,20.676971566913036,3.3633654043026215,-62.87541716151046,27.473922189545526
208,F1727,0.0,208,45.92245011591637,5.614828640391711,-5.8004022398121755,-3.7121879664069555,28.91606946272156,-8.49439459479278
209,F1741,1.0,209,-26.649083596731494,22.44496813347787,20.23938535043095,3.3478134583783827,-63.306043846352594,28.534704393425834
210,F1745,1.0,210,-36.4620412321021,5.952758449088946,-5.028406043242006,20.90092063643405,29.692828748225956,12.530086163339234
211,F1746,1.0,211,-55.561516187177546,42.06965276107343,20.398448807716857,3.1734117708049503,-62.72467223669935,27.57540966214156
212,F1747,1.0,212,63.93636854065568,28.320448976816294,20.85829913452744,3.3437950943685912,-62.8603571142017,27.365151319124728
213,F1748,1.0,213,43.694899816332615,9.388539972537817,-7.763824828540086,-3.4307436424132582,33.41648452973296,-8.856513826602281
214,F1752,1.0,214,36.83661752035576,0.013936298860840642,-4.086782740543095,-2.5821303129212803,15.215846752025094,21.451126122254088
215,F1754,1.0,215,12.58949024208686,38.128691887164116,4.558224368049438,-6.687580713731789,-37.455712383912164,-18.034906605034347
216,F1757,1.0,216,-66.5546526537417,20.06423899170185,-4.296459261102182,-2.6574625975808255,21.413559340242493,15.31809197526902
217,F1758,0.0,217,100.00461108150303,42.75091235236936,-6.384374522786019,-0.1525449799836096,26.90481717202539,7.448572085838428
218,F1759,1.0,218,-29.451355714002986,-38.947391946930786,-5.29796706874629,-5.168774409834404,25.2536420906275,-11.263129328186416
219,F1760,1.0,219,25.665406252966115,18.14891335282726,-4.191995668703633,-2.490475924143218,15.453136015639636,21.25846912090372
220,F1763,1.0,220,35.41222355053041,-2.051422591292653,-3.5668192650706025,-3.396316403200916,19.158801550423746,14.378902156503585
222,F1775,1.0,222,-14.418893467666916,-16.477629404446134,-5.7106408045140125,-4.158553394275306,28.267581979963758,-2.4577825420633985
223,F1787,1.0,223,18.515147385099777,-7.123059275986077,-7.121632439639485,-3.7464817373614334,31.458898634682335,-10.135502921683269
224,F1789,1.0,224,-10.157569934912498,31.601442959192518,-4.033996232598986,-2.648525321609063,16.02469298746452,16.50304357586888
225,F1795,1.0,225,-20.0633009795919,22.07920357377663,20.487961363788113,3.086469123840317,-59.00420264251517,20.421877716663893
226,F1796,1.0,226,-25.54237645114978,-1.150833088129816,-5.510230382468498,22.164723322512927,29.944074483002943,13.862481941374554
227,F1798,1.0,227,-37.157215846193274,4.055468661119434,-5.636185646166776,22.192982521598054,29.899969974665964,13.843339641546692
228,F1800,0.0,228,-51.97431004598472,22.082097612028093,-6.381308701432465,1.3656126087822287,24.65140759536206,14.791711690884007
229,F1801,1.0,229,-62.30852094196789,15.14178213559766,3.167045557503016,-1.8864191709440794,-29.58040999677863,-24.62208245818351
230,F1810,1.0,230,7.400601320986775,30.449931556809602,20.864685402259273,3.1689662646137897,-62.94502224112188,27.630126452246024
231,F1812,1.0,231,-73.88342315325252,23.96775828119262,-4.295641318945519,-2.702573153932626,15.450174080217401,19.991644720916916
232,F1821,1.0,232,-49.19269045076515,23.67707322596974,-4.21142365111225,-2.557778939669393,15.031672656559351,20.8752969117593
234,F1853,1.0,234,12.091080998652693,12.81689943732413,15.941687461113883,-1.7622636305958963,-60.79033644343281,23.449235330192742
236,F1864,1.0,236,-61.78371250766531,-19.161478338562844,20.621717591734416,3.317761719272367,-63.081898337520784,27.475348696397454
237,F1869,1.0,237,86.99324256761307,-14.250090559660835,18.4677768581871,1.4547028941730282,-62.13981640810196,27.108493718974948
239,F1883,1.0,239,32.6991155437793,-30.199881954600578,-6.447612221484964,4.412537060517288,30.934381002175634,8.523526881460391
241,F1957,1.0,241,72.30312573388281,20.54055315850572,3.1763262337506566,-1.864424087102054,-29.755565237354844,-26.381609005477692
242,F1968,1.0,242,30.50002385763909,-40.570629080062936,-4.930428136130434,-3.3143597911283766,29.06058318967643,-10.157913295744045
243,F1979,1.0,243,2.088193836878791,9.788561301226403,19.119637477384757,2.2022661305414566,-61.954562030790576,26.33443533226049
244,F1983,1.0,244,38.88057629997283,-2.207005304053789,18.990107764441053,2.041686546349954,-62.006607402432614,26.66307895567531
245,F1997,1.0,245,-0.7893472424817262,-3.313284841372444,-6.640246119726629,-3.0889024993626197,24.675437190512177,3.4342437665841032
246,F2000,1.0,246,-30.903496949304873,28.00963439086487,20.184549267404467,3.2257664905126493,-62.90436249088873,27.24555006234261
247,F2003,1.0,247,48.5136854508799,-15.918373203902835,0.6487116990602693,-9.356128722699648,-26.706974039692803,-49.4462403547353
248,F2005,1.0,248,27.155587930527574,1.7174179215210115,-6.572580547271372,-3.258679501718073,25.681972786128533,-2.520945578970519
249,F2006,1.0,249,-51.84611102020325,1.873944294691175,-9.043236207707043,8.228966704418143,30.26083260659803,23.787962930593032
250,F2010,1.0,250,38.123129935419385,8.110668576091602,-6.964349307147448,-3.046019390633301,28.256794130155896,4.523683389283683
