,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
137,CH5688,1.0,137,61.269532510926794,-6.97463848291665,17.118820444128406,-0.7884058782903782,-59.459287749260916,19.40233951099406
138,CH5695,1.0,138,44.11396853819291,-24.434874766874472,21.78729855390098,4.4834847953038075,-63.436866525056445,24.442143212823204
139,ESP002,0.0,139,-43.220242424865354,44.08665653674426,0.3633481086675352,-7.834738599067133,-24.791396338405562,-31.33739476589341
140,ESP003,0.0,140,69.98020102164986,39.7945253742733,-0.5575191107569057,-8.355093648216375,-19.343657491247615,-35.437291162023726
141,ESP004,0.0,141,-53.630344628467405,13.29148594300636,-0.6324153895439761,-8.28172002439951,-19.359274146235165,-35.470819623902116
142,ESP006,0.0,142,-19.083384609950333,8.744614497516293,-5.562583187846848,2.772457377909742,27.4457618797492,6.132635114986911
143,ESP009,0.0,143,-24.586096040459164,8.833021181230697,-6.031050857977668,-1.5828196107938863,29.02547338352,-6.886877706948887
144,ESP011,0.0,144,47.924541866625745,72.05737092630315,-4.4467194977789415,7.075314186080602,24.041774641757044,17.3111041839851
145,ESP012,0.0,145,-23.08968208881577,15.136255040613289,-3.9958735930127345,-4.082902889620378,13.362878086403406,-5.227710886658507
146,ESP013,0.0,146,-47.05495804851745,8.49518379230735,-5.0805061022237075,-2.622796831405026,15.754620520180481,-4.7121412542396826
147,ESP015,0.0,147,-34.65694811011422,22.656793434432267,0.8625257014793872,-7.919431233478761,-26.288719579957554,-36.49933223540441
148,ESP020,0.0,148,20.32897468619508,12.09375709068567,5.037417535509443,-7.440423264490022,-37.52764678818464,-21.455460115456475
149,ESP021,0.0,149,-23.351615576819047,-40.42111430164833,2.4565554659580773,-8.486788231224791,-28.285119209452866,-49.56474997255825
150,ESP022,0.0,150,22.360575319546342,60.20555936241929,-5.552868596481639,-1.3375286647078841,29.561169172187114,-3.0345198651045635
151,ESP023,1.0,151,-16.858363503970065,-15.65242937799528,-4.190915098911235,-3.8983109999875785,18.28867956790878,-2.2432408021520445
152,ESP024,0.0,152,-19.22114104963737,-7.127690043705834,-5.453464092369327,0.14110314320574702,24.327719263368188,13.836469825681291
153,ESP025,1.0,153,11.87037495097372,-2.5129405443277673,-5.954892282747817,-1.8569643776846645,28.90925172474563,-6.526942533901789
154,ESP027,0.0,154,-6.329677559944182,-26.362407551693284,-5.492444671301067,-1.847793068124144,24.388778787210292,-8.19167750453694
155,ESP028,0.0,155,3.469893506788598,-37.016525669846736,2.4513726169390564,-6.4174530442341045,-28.962339260506457,-29.99120656973518
156,ESP029,0.0,156,-11.40265967190036,50.81182374579454,-6.242430573824205,-3.2911356671190246,28.329657228531843,-9.055432804760535
157,ESP031,0.0,157,7.136231688645013,23.092321174660363,0.6907089137015392,-0.1475717315417544,-5.703178751099941,-4.8418685980545035
158,ESP032,0.0,158,-34.41628124592785,29.530187901864647,-2.412976973937362,-3.8869592795983703,10.23706105300392,-13.281297385726454
159,ESP033,0.0,159,-14.191869643892186,8.281022193271394,1.3885375251551975,-8.004292085861708,-26.334730696127767,-36.50400322477876
160,ESP034,0.0,160,-5.916290991249113,-8.595421300328315,-2.7927955737542787,-5.240068361231625,-2.001320108786743,-13.521289143027637
161,ESP035,0.0,161,-9.201266536301707,-9.356801804419879,-6.009907470447707,-5.294125099231234,22.169651861313383,-5.4213772256664825
162,ESP036,0.0,162,-4.8135565424247355,-10.276372422364208,-5.194214011791987,-3.0230857361730035,27.554554688468862,-9.437935238076122
163,ESP037,0.0,163,-26.25135899800476,-3.4377484974395864,1.6520488510227676,-5.87955884064578,-28.73499359854347,-31.777038717013546
164,ESP038,0.0,164,119.46925110293618,19.183054162940117,-5.441410894936116,-3.697374729051253,22.497778224749005,1.8666918277321258
165,ESP039,0.0,165,112.51373636562805,62.372624382753116,-3.3646776455154876,-4.467903817830121,2.204066905624259,-9.577606961037155
166,ESP040,0.0,166,99.59836880462335,49.914781318227575,-3.3584846907506165,-4.407274847180161,2.170204639403636,-9.706588274323316
167,ESP043,0.0,167,79.8232548230918,70.47474490771742,-4.336324743233865,18.829448760127256,27.02601806753114,13.36521743726216
169,ESP046,0.0,169,-4.604912309041451,-9.921242339377544,-1.0017558680527614,-7.498645151291612,-22.270709265542354,-34.45534438065544
171,ESP050,0.0,171,9.94751543242564,-29.063935989515638,0.8790716562990233,-7.537460127561705,-26.739318651565192,-35.93254128283732
172,ESP053,1.0,172,-27.737386624369293,39.093481775127,15.751216009718402,-3.3348682029255468,-57.635261393791836,8.478146649400642
173,ESP055,1.0,173,-2.1932452080506954,-25.987042759134866,-4.21181821877313,1.2913163350371555,26.31019268123218,6.079616791056566
175,ESP058,0.0,175,1.916851102586057,-23.349543912704835,-6.690817295962227,-3.029534615935219,30.767902268513815,-8.115712562484028
176,ESP059,1.0,176,-9.231228490500623,-32.2046971707463,-6.881078705496431,-2.2133371929717898,28.581765146302445,-5.380620666486088
177,ESP060,1.0,177,-28.222506838243277,-9.723374734123654,-5.234504429634124,5.31355771831039,23.12638289017486,18.19568553527413
178,ESP061,1.0,178,38.67439910811385,59.41108004603924,-4.3755303290335,21.396722383584134,26.09645829949004,12.305067942056901
179,ESP063,1.0,179,4.977713041892508,-11.353144266646884,-4.8319701623129365,22.10757020310743,26.57497769379043,12.659138611492054
180,ESP064,1.0,180,-9.208353920692556,-34.79681191743077,-4.406865981578591,6.2342113918578725,19.52010216388104,27.899357963561748
182,ESP067,1.0,182,-116.62482066934439,1.4815674443349212,-6.574670602650318,-2.237648977604933,26.193360198176116,-5.544093514357883
183,ESP068,1.0,183,-129.16011754693957,50.57373371938081,17.53546624218075,0.08535881907889475,-59.6842037601433,19.66797909304092
184,ESP069,1.0,184,-109.8604086010267,37.25544028751717,-4.581019664252751,6.536428718704313,19.76150817449718,27.147301295706292
185,ESP070,1.0,185,-78.22768664100877,2.3015582195932156,5.978493429662916,-0.407286469759331,-32.63409156533664,-25.76045289803264
187,ESP072,1.0,187,-92.54104033313945,14.151434932738466,-5.7422555552531005,-5.716973300587198,24.1930586041467,-8.029280532368773
188,ESP073,1.0,188,-93.96338608535785,-4.0036479429468494,-5.745304836028345,-5.618937426427469,25.20965018643551,-9.97758741585588
189,ESP074,1.0,189,-99.67034803889597,2.788643100707019,-4.549776748960334,21.579025339484467,26.543443371556172,11.730421051764857
192,ESP077,1.0,192,2.7901142787655426,-6.082528504754365,-2.7047418742077745,-5.951462684738803,-16.63165167199895,-24.06205773766549
193,ESP078,1.0,193,-16.76184080097644,27.299908118262632,-4.499318770399198,6.301152994442953,19.46335901454198,24.973617525147098
194,ESP079,1.0,194,-47.285504990778016,22.57514341018668,-4.632458371063471,21.941326471605805,26.657986535708986,13.149241316532517
195,ESP081,1.0,195,-71.87947741256916,19.12545627978419,-4.878995542293612,-0.2125778105127356,25.70756974550887,2.1719239577262215
196,ESP082,1.0,196,-70.14345981656531,28.861772411519524,-4.6347608446013036,22.128401623168784,26.737716266482643,12.021642680474372
197,ESP083,1.0,197,-47.604458192587295,22.848979095882868,-4.701938291690462,21.88106861713807,26.894940216680773,13.03090316947921
198,ESP084,1.0,198,-66.60701963091512,27.883558712741166,-4.551678156566077,6.40196399859917,19.144020329540893,28.16374881273402
199,ESP088,1.0,199,-53.17942270843148,19.436409111468773,-4.825192861026936,21.680105276936978,26.46684269573022,11.56858252219562
200,ESP091,1.0,200,-30.197514688113827,21.3444781437299,17.41380553277227,-0.37950513334073754,-59.06356672681156,18.077126576926098
202,F1688,1.0,202,14.709976830393334,-11.38280865289349,-6.221406598964184,-5.235115552077879,27.607730145140472,-10.899444909373244
203,F1689,1.0,203,-5.869121249924105,-36.319432984494775,-6.2378452399753614,-5.394816986490035,27.439194327200866,-10.699710336642212
204,F1697,1.0,204,-2.2963000174078574,27.435458195399267,20.672358692135514,2.9661647535341054,-62.92015382045545,25.099833356940813
205,F1706,1.0,205,-23.84777629049565,-18.096885420173393,-7.866936938982367,-2.9219755735493935,32.798914866065196,-10.189798504311213
206,F1712,1.0,206,-28.05573195487648,-4.138713895784243,-4.499233650201557,20.582031687172154,27.035145366192523,13.379267703123901
207,F1724,1.0,207,-23.27698740808709,13.986297355940858,21.000363322806763,3.084754688372934,-64.17076671411871,26.954043882796192
208,F1727,1.0,208,44.36649853411962,5.742733605754827,-5.630322871391858,-3.299366492553639,27.703860730665745,-8.222880140369192
209,F1741,1.0,209,-28.776097767389384,24.85609159632851,20.560441263734614,3.1016703346257604,-64.57990210189095,28.03223792371255
210,F1745,1.0,210,-38.65762957072505,7.511706663440156,-3.7300047674568058,19.410793307041878,26.966390103100572,11.002261859317159
211,F1746,1.0,211,-57.73887396362459,44.545696643176875,20.719402493196256,2.8879774107004312,-63.98453716995402,27.147723397512827
212,F1747,1.0,212,62.427762621640625,28.86625188823279,21.1794695835053,3.1016573584138047,-64.14250689114243,26.86963687081647
213,F1748,1.0,213,42.15702739963899,9.36709583379559,-7.9695462781074236,-2.8934901462978475,32.78764312249847,-9.926684888183061
214,F1752,1.0,214,35.33895750074449,0.6213018582028775,-3.9091145443642135,-1.7251063102606912,14.18561128343842,21.967002025068787
215,F1754,1.0,215,10.952639846840029,39.04680814826928,4.675746703003115,-7.143149567997698,-38.41472175282749,-17.01556476793504
216,F1757,1.0,216,-68.72061031106567,22.561423628767983,-4.036574661221447,-1.7926235858911648,19.405184851167064,15.543080912449192
217,F1758,0.0,217,99.04605880517025,41.65250873350077,-6.121260507164228,0.9056800779677463,25.437534677289122,8.07192587907739
218,F1759,1.0,218,-31.769224644481344,-37.59452525210678,-5.229833153632528,-4.99308248352291,24.181478222516475,-11.486831329796814
219,F1760,1.0,219,24.24674358314147,18.361139120115872,-4.0115154822935075,-1.6626401375288493,14.419847904771437,21.76288169619243
220,F1763,0.0,220,33.64838006909286,-1.820698868781757,-3.3146270899096937,-2.8955851635967047,17.193506672160773,14.591362100581726
221,F1764,1.0,221,0.8253151000405798,-3.9272077765498237,-4.495865785163292,-3.92246039408992,21.93361057352388,-1.0311983624842895
222,F1775,1.0,222,-16.540826469174778,-14.905727233172566,-5.592304922165145,-3.253305921705338,26.815766764796834,-1.8885822915928827
223,F1787,1.0,223,16.728731978885154,-6.742203217943338,-7.046518846650255,-3.346655192556825,30.685829155819725,-11.06966920535784
224,F1789,1.0,224,-11.937596533194696,33.155183455603975,-3.856008608493661,-1.8125130191097254,14.868294937108821,16.86354279417295
225,F1795,1.0,225,-22.17979342622755,23.996490970640444,20.78716511786923,2.7953098321213403,-60.42993965478266,19.829554951873668
226,F1796,1.0,226,-27.58264700578966,-0.0006953508275157639,-4.139205108489405,20.56471524589925,27.18053710226655,12.400584299619418
