,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
28,CH2690,0.0,28,152.77456860647945,-30.311479002225166,-3.658512065672296,-0.37334409092722787,24.143848522276873,-5.351473484921492
29,CH2698,1.0,29,-28.86301438188523,-35.30665150931172,-3.189969842507414,1.2463595844151545,20.585545272236335,9.114793221843414
30,CH2699,1.0,30,-12.04779684612777,-6.133950256355595,20.618505664573892,4.089903148014926,-63.50845323390422,30.93793159424805
31,CH2705,1.0,31,31.533276998763903,-7.4832708826618095,3.9101560301146483,-6.4348108357751235,-40.56827587787177,-10.794059101388825
32,CH2706,1.0,32,2.958800974368524,-25.744494337628375,-3.240263322008028,4.039208345338567,25.09460933670316,7.353331613898085
33,CH2707,1.0,33,139.4516461930103,-22.158643541585636,-5.072439910450574,-2.9173976843117035,27.69206070707605,-2.6418931077069914
34,CH2713,0.0,34,109.50528726050766,6.579644499731852,2.509545950535464,-9.11077402700826,-30.86199517778297,-47.720771755802325
35,CH2718,0.0,35,39.09553470602195,2.3144824458440763,-5.4335493605005105,-0.18622494175135174,31.009862574805435,0.0675175495584881
36,CH2724,0.0,36,-12.020856784453134,-16.74722812605109,-6.414702720287035,-4.67699382689991,26.753652095199005,-0.06620167585296599
37,CH2730,0.0,37,55.63279857048216,0.9526558226758597,2.6660670876331833,-4.700378347148789,-31.05863280344769,-30.420785951747078
38,CH2734,0.0,38,19.324609152933284,-28.208786801647225,1.276916199079219,-4.60859395980564,-30.479897297378578,-25.80741728105194
39,CH2735,0.0,39,7.673727795963232,-33.66094670847834,-4.979231756417835,-2.0870468959951785,21.694728590278242,-6.786758728412586
40,CH2747,0.0,40,23.8164398760663,-32.897793708777414,-8.037326584055428,8.992653274486738,31.53527523944958,8.900082597887668
41,CH2748,1.0,41,4.4571809633483195,28.6706888716695,16.931086150617286,0.00218709512722981,-58.18883958455722,22.89341225459662
42,CH2756,0.0,42,-42.70535639861523,-10.513089054655197,-6.402418123831033,-1.7583370372272125,29.543073552736193,4.958496805876031
43,CH2764,0.0,43,-5.3835696231605406,-18.21218907769597,-2.552994050705056,-3.535955017939334,12.640582835542194,-0.014665715305923754
44,CH2824,0.0,44,8.592467791776503,-0.4734475398048435,0.40827757102902495,-6.409903268115526,-26.16489324989825,-31.46463661559425
45,CH2829,0.0,45,50.21168642724134,-49.242077709047116,2.3546813863954483,-5.811419675059595,-31.17178410017773,-35.88682033066961
46,CH2848,0.0,46,6.138317601666634,-8.940958330459098,-4.993414866404536,-4.797720674662989,24.891733910911068,0.971029100382502
47,CH2860,0.0,47,49.558060805754664,-7.159177207600928,-6.023588566234416,-5.598839808411384,27.965378335653792,-10.948971414428932
48,CH2875,1.0,48,33.72191999387608,-24.72344658898304,-7.185664852546742,7.830991407374988,28.63010947806494,21.97481594658894
49,CH2922,0.0,49,-21.832846986963347,-38.88775072073503,0.34901366398710243,-6.908524939601477,-24.81351087510615,-19.254385131164643
50,CH2939,0.0,50,19.650810269673215,3.476694312538175,-5.163406582427476,-6.145945813569169,20.669082478153253,-4.149126828854627
51,CH3173,1.0,51,-50.84188967189067,17.018307418553537,21.597112310847454,4.470835672625222,-65.1848017766555,32.65781956194656
52,CH3177,0.0,52,-13.937846524872258,2.1184889606605886,-6.489659640686815,-5.410902392630877,27.462536557844377,-3.4357065501631965
53,CH3290,1.0,53,-22.733433121163024,-12.446013370874864,16.890972938949425,-3.655903666564436,-62.80644004825929,26.930087055583094
54,CH3325,0.0,54,7.45309104939665,-2.3330620609691897,-4.374608272192224,0.686430600013697,24.948446747461045,8.55639069314725
55,CH3462,0.0,55,-27.988844049090616,2.23252029962401,1.9873680408773373,-9.04539872059881,-32.003774061098824,-43.22785309523554
56,CH3466,0.0,56,16.959189004430506,-35.11453937129303,-5.996765127585522,-1.5367207854471436,29.881798187469645,-0.43321195562175063
57,CH3484,0.0,57,-43.956161830040564,-2.6512173112464135,-3.7442887338704773,1.5648567832485423,28.708801283860556,9.063984479993174
58,CH3549,0.0,58,11.500433849727278,-8.20622754936603,-5.210900606201074,-2.5515438266696426,23.2949945240355,0.8415992505061993
59,CH3570,1.0,59,-50.40683409293787,-26.34261628076437,-6.265708994717473,-1.926458244592009,31.52615446071957,-10.837810880982552
60,CH3613,1.0,60,1.1424630937367055,-16.369899352203518,-2.665978309792121,2.523048667711059,20.80918932869476,14.575996563754082
61,CH3648,1.0,61,2.2235331353775596,0.505440654329334,21.309393086904524,5.074470609880285,-62.759654272355974,29.61703483736975
62,CH3797,0.0,62,-104.54981249327017,19.328050789516805,2.8571370571470682,-4.474447282391638,-31.44503225610903,-26.4045306621349
63,CH3882,0.0,63,-133.34686453844202,12.89742345364942,-6.2491891750736785,-3.25000266340908,30.074990456810806,-1.9906609071150854
64,CH3906,0.0,64,-86.28793704135933,-24.538882198980115,-3.938627802273122,1.369035774470662,28.228681469642783,7.837249177088687
