,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
37,CH2730,0.0,37,56.63590230968254,-0.27186440947528057,2.0348750697251043,-4.438756496074524,-28.270508683229224,-31.596448761281206
38,CH2734,1.0,38,20.445348033619855,-29.092891101921616,0.4775899261031378,-4.620142056149289,-27.106460877717545,-26.172737163339477
39,CH2735,1.0,39,8.91515289946922,-34.50340577483228,-5.511983673026694,-2.586671430040453,23.66016479080735,-7.161435541675644
40,CH2747,0.0,40,24.78992603018491,-33.678584417116774,-8.656637220824596,6.825722977137438,33.60507386951026,8.982683009396958
41,CH2748,1.0,41,6.350575791094259,27.322802194336653,16.443846830912285,0.20543678095395634,-56.76858836516547,21.01603777412118
42,CH2756,0.0,42,-40.75330729916755,-10.790752888001952,-6.768540119838339,-2.511321111335608,31.336947425495516,4.577492719428129
43,CH2764,0.0,43,-3.9073366435281423,-18.592064821411046,-3.0312044278958825,-3.7339137059539196,14.860564815710916,-0.8098290324727273
44,CH2824,0.0,44,10.175190994676013,-1.5964140042572315,-0.2191227221953871,-6.482931466710733,-23.15501115181121,-32.97879347320617
45,CH2829,0.0,45,51.47823184776875,-50.24037606995166,1.428063236752498,-5.403713407356592,-27.695753647204143,-36.94605781464919
46,CH2848,0.0,46,7.624278869317922,-9.825704868038345,-5.247185486987849,-5.256575902276463,26.01568260209855,-1.7012334617765106
47,CH2860,1.0,47,50.623896865914716,-8.5702021260086,-6.388107356578028,-5.916292485701529,29.669849951599332,-11.826571117216119
49,CH2922,0.0,49,-20.31388638917508,-39.155173925992734,-0.32807228692953316,-6.826679528036061,-22.161474047416796,-21.00585355156002
50,CH2939,0.0,50,20.96776013424308,2.0107247547077196,-5.587419329451478,-6.508607614966374,22.371998091727612,-5.830945749850102
51,CH3173,1.0,51,-48.468907353299485,16.49235818765315,21.115710534283924,4.414865865032235,-64.17739595364552,30.479616248572803
52,CH3177,0.0,52,-12.117410842245617,1.1909149762366866,-6.781557825004465,-5.724800598740617,29.154414879040623,-3.819447815446935
53,CH3290,1.0,53,-20.900960160464216,-12.70832507383547,16.588129963288303,-3.549870757941645,-61.73843211306146,24.535852133914155
54,CH3325,0.0,54,8.915864622694373,-3.096524220464877,-4.862881038852352,0.1639602485438818,26.70123828089516,8.439191415330825
55,CH3462,0.0,55,-25.943866873889412,1.4042239502909712,1.2068326616290115,-8.555775447834444,-28.7565499535313,-44.81673829804076
56,CH3466,1.0,56,18.07149551713206,-35.975401551029925,-6.1549887197475535,-1.8935331386797438,30.844295421936224,0.4610279010220921
58,CH3549,0.0,58,12.902145004977859,-9.440198804272612,-5.627965369882999,-2.906888849244269,25.31875703955901,0.13803033876099136
59,CH3570,1.0,59,-48.606827782929976,-26.543670894924357,-6.472162425058706,-2.189579264913676,32.439549500929196,-9.878752334055697
60,CH3613,1.0,60,2.54932591990085,-16.956081972045773,-3.4727270938394623,1.1879293429108753,23.443786824841,14.354947865123322
61,CH3648,1.0,61,3.7610897019419456,-0.6997578585229199,20.82056323881494,4.902310456936304,-61.60614182991352,27.662278226235138
62,CH3797,1.0,62,-101.48357318943512,19.366885925414834,2.1538544812164293,-4.808811098144196,-28.49308673944165,-27.820230392706073
63,CH3882,1.0,63,-130.14940817943216,13.016364681815029,-6.3263110876327,-3.5297070412717444,30.945643962559323,-0.8595864228477907
64,CH3906,0.0,64,-83.96697510576593,-24.3077483613362,-4.434633061868606,0.4037818206654382,29.934289606752188,8.001266671162504
65,CH4035,1.0,65,-67.604291788537,19.60903344854468,21.564716728672696,4.537880613762699,-64.47667185454264,30.59091787260558
66,CH4083,0.0,66,-57.610724418300855,-13.126580090309094,-5.381193637913208,-3.0816869112610066,25.06570241118721,-10.307504534163975
67,CH4411,1.0,67,-67.1387550229771,13.959303651326994,-5.880631372552331,0.7413737942774148,26.2798402985974,14.598409497458782
68,CH4418,0.0,68,-34.4474303303662,17.335219067834274,11.017394967059062,-0.3519343474812935,-52.9557510936218,13.555434959427338
69,CH4433,1.0,69,-46.04343878475961,-3.858080960894493,-0.7174381714366149,-4.183844200516044,-16.37950385610623,-17.424992719382335
70,CH4438,1.0,70,-11.960090524288658,-1.858906499942051,-6.291044053539573,-2.594518162473517,31.49545923517558,-4.750924268606482
71,CH4443,1.0,71,-92.67231765318475,13.60699508056167,-8.990401835969639,6.836366364037028,33.684847058466055,13.592478499829973
73,CH4489,0.0,73,-25.7432732089369,-24.98504835036393,1.055999816869594,-8.421494290692221,-24.290045648460165,-38.00165489726363
74,CH4509,0.0,74,-78.87148702203328,-9.901800048049772,-6.872745271849349,-2.056981068962137,32.28969558551529,-5.016272604445717
75,CH4520,0.0,75,-71.55404954876707,-21.1566357613101,-6.520850794512038,6.169217435310738,28.575065942227454,0.5613939113777633
76,CH4528,1.0,76,-34.13588560592835,7.580556384038686,-5.301984762167516,-0.7586446532336684,25.077146694592685,-6.040972571662884
77,CH4548,1.0,77,-41.69591896067961,-2.1111173568555572,21.924665179003735,4.340298971904682,-63.83599956321645,29.150066779781945
78,CH4549,0.0,78,61.28951660566369,21.199443243149283,-5.822975176669621,1.1190060452976986,25.947514393788914,15.428687528618504
79,CH4560,1.0,79,0.07907684471453603,-3.824004883848408,16.94889291513501,4.06141299088358,-54.774035086022856,12.19018477177977
80,CH4584,1.0,80,27.170263235515307,-16.443476615341677,-5.2509915310784105,-3.3921554244429304,25.13915520074213,-10.509373319942462
82,CH4602,0.0,82,-67.24768456423106,-32.73165222888267,19.88585424075335,4.168576811522616,-63.29052140350267,28.451483985565595
83,CH4634,1.0,83,-85.26545601076569,24.53114297596853,3.7392137817753133,-0.5804459090642915,-28.682591524922692,-25.68593775499113
84,CH4681,0.0,84,-92.45226022349777,-20.953002958808145,-6.359716544319095,-3.423434960954414,30.261613297067477,-9.183944006751773
85,CH4684,0.0,85,-47.47098966688837,-8.358166905627053,-3.8942506226111373,-5.376883334109083,0.8658536512973036,-15.949278345431175
87,CH4704,0.0,87,-28.345183089006227,-29.96509033518746,-6.073314523979835,-3.970129954504811,28.738608555226627,-6.492848821493936
88,CH4733,0.0,88,-31.027087299504746,16.521188554403604,-5.523596194130482,-0.6237556545832685,23.60346168626792,13.561628457746082
89,CH4745,1.0,89,18.20276573983525,-31.259664651577058,21.75909840675026,4.589311017401851,-63.87547048507662,29.228872769896036
90,CH4755,1.0,90,45.77849114967274,-28.941979351752437,-4.367839434724089,2.5694613720137465,29.67213006128081,6.003001405449737
91,CH4757,0.0,91,-11.106209161092197,-20.381667206207656,1.0877602490786544,-6.346043861726573,-27.43956712905613,-44.85859988512462
93,CH4780,1.0,93,15.488577524054469,-8.600968769485208,-4.640872393907801,-5.679048872179976,11.650974814293548,-14.578273728923975
94,CH4785,1.0,94,10.250215477640788,-26.157014340242394,-5.943219065443804,5.276721834099494,28.519209655278964,-0.3845397338711791
95,CH4840,0.0,95,-4.299203456800261,-43.34229872801625,-3.630449521719968,-1.4285773023698898,25.42706690861482,10.711415165358702
96,CH4860,1.0,96,5.59074439707429,-30.563756707285165,-4.3972766819152,1.6012251686331052,30.1228375078082,7.2462744796889496
97,CH4862,1.0,97,33.262089210695684,-5.376908406815406,0.8381579618017945,-6.905562263465426,-25.554698472206603,-28.10008724517922
98,CH4877,1.0,98,35.53329846976613,-14.825860303693283,4.249771201876937,-3.255744101257397,-37.537435478412085,-11.114318687595308
99,CH4878,0.0,99,49.433747017150274,-37.05195175965448,-5.280280824235689,-3.4834330848327344,28.050242719010498,-5.031978762283856
100,CH4891,0.0,100,-26.567251586825353,-11.199712084113338,-4.685419077775731,0.665328063600354,29.978614333411784,8.916028975653056
101,CH4914,0.0,101,-121.4125617176459,-23.063783385915787,-3.5615490784642594,0.6367218777313095,21.96917686822318,7.798205397222063
102,CH4916,0.0,102,11.868120515649123,-29.094474989759657,20.53992191504183,4.607442704050307,-63.23113165498702,28.28053249518768
103,CH4990,0.0,103,-57.1476745499491,34.49944602252134,-8.30185744650709,7.140344701613017,30.545805684202875,22.011555557318793
104,CH4992,1.0,104,-48.618468567296844,23.28753732069417,-4.36112541601771,1.5916562957982308,-27.890766220971294,-49.07437717402993
105,CH5022,1.0,105,-6.594269407829813,-15.77086910641554,19.36466746602086,4.747989862641013,-54.83491613176588,16.130837072188406
106,CH5052,1.0,106,10.261705790276798,12.015302983191713,16.512376600587523,2.611572201197019,-55.058604772884806,13.100764944776834
107,CH5066,0.0,107,-13.178680726700797,13.57422093462064,-6.340972656891688,-2.550703069721645,29.680210446701345,-6.146838331001497
108,CH5159,1.0,108,-26.923146021059367,41.33420342700359,21.082133739354386,4.270621430550623,-61.79121783373987,25.028585423018647
109,CH5174,1.0,109,-48.345911068833395,-2.728984073385765,16.064207948816463,2.4457068296009155,-55.90261109538364,10.93828790592935
111,CH5193,1.0,111,36.27015550807124,27.05136884891468,21.741051496266845,4.391727694704013,-64.7024355634322,30.87108019523334
112,CH5206,0.0,112,33.443322865656256,42.82615690077293,-3.222075869175117,-5.502570976977815,-0.5300367613609609,-12.995107920622232
113,CH5262,0.0,113,51.86356174691917,-47.111058442958054,-5.936087206705546,-4.605081956900923,27.87645030104244,-3.3256332596167724
114,CH5267,0.0,114,-6.693229570473098,-35.520599700951486,5.4381948295508336,-1.0118625355110566,-31.95929933017366,-25.895677044013908
115,CH5291,0.0,115,16.410219992438634,-31.481276981534805,-2.819515043827855,-3.4182343216316706,16.456472298922016,-6.279536698928993
116,CH5334,1.0,116,-31.10809144210323,-22.65218473090939,6.403737828470569,-2.9335471784651084,-36.8737230132218,-17.497120226171468
117,CH5353,0.0,117,-33.25323803495469,-4.834324027450866,-5.959372075211956,-4.4482780624649765,22.791718959969394,-0.35753905689615095
118,CH5356,1.0,118,7.166723181204571,15.11936847835022,-4.683339491937428,0.8730625840849537,26.032879765823182,7.315039231739554
120,CH5363,0.0,120,87.66906808312771,28.910585342996416,-5.072272952351298,-4.810294692144196,28.526895001312354,-1.8873333964206367
121,CH5387,0.0,121,14.074599493112787,-24.534789542385525,-3.2307813474140756,-5.569819837668742,5.602213475994908,-22.277470452753725
122,CH5432,1.0,122,62.92040165768121,27.450288019294355,-3.221472574305688,0.2867139203779292,18.578364582965406,-3.8477445982786023
