,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
120,CH5363,1.0,120,84.33420547456195,29.491123926192728,-4.9592260672088475,-3.1103018005215777,27.854113313731293,-0.2796665032819661
122,CH5432,0.0,122,59.73141962734054,27.42726294340322,-2.7283502389852763,1.5048591460713325,16.9494344467488,-2.711178719746897
123,CH5462,1.0,123,-9.916533202172415,5.898449559823108,1.4332613106811272,-7.071788147157523,-31.22641879930411,-25.72973225138314
124,CH5464,0.0,124,-32.92257911982347,-20.30102386435456,22.65430883281731,5.263933048656078,-65.16370988698912,34.92739282882047
127,CH5531,1.0,127,-18.220790798978864,-31.838494586158106,-4.936149948624929,-2.4218002969716768,26.581595476926093,-6.355227806544477
129,CH5550,0.0,129,35.411845237854436,-20.364254950871135,-5.27721526015189,-1.1521818970866171,24.032359810677864,-5.079142478372965
131,CH5591,1.0,131,43.34868447191372,34.84978038345467,2.900616058283279,-7.427660122716524,-35.70803092967709,-22.789874267794595
132,CH5596,0.0,132,-24.562647144160863,-26.541829923591845,2.895385120438668,-6.611626228600125,-29.98846303723403,-27.733866301431668
134,CH5621,1.0,134,-5.627218640387851,-31.03904986217509,-4.9426112956420525,-2.0162785346166228,24.62768086584273,-2.155165850996923
136,CH5666,1.0,136,-21.769879140172673,4.4623443387943516,22.609103622020037,5.087492501218435,-62.890585091074655,29.546000679832304
138,CH5695,1.0,138,42.578025670953565,-24.921018766163822,22.225280166837,5.239722880581635,-62.49468705699147,28.87156487326621
139,ESP002,1.0,139,-44.80028698828233,45.18912128847702,0.6294685164867093,-8.301172788391186,-26.39086751010533,-28.301591304483306
140,ESP003,0.0,140,67.668129911101,41.25308496661722,-0.43291480045640784,-9.247503708848464,-20.67492636740279,-33.12012863369604
141,ESP004,0.0,141,-54.557774249792956,13.005395641599838,-0.5189384717019123,-9.171447440573452,-20.697752835617067,-33.08729518041219
142,ESP006,0.0,142,-20.265411195789518,8.166499005476139,-5.247599944361981,4.006854132310767,27.260418353633003,5.013599059046321
143,ESP009,0.0,143,-25.561131676218093,8.21544232129991,-5.861409679138316,-1.4876223043248125,28.828996647625136,-6.368979113805793
144,ESP011,0.0,144,45.604344421631694,72.25438456563955,-4.049389442906843,8.1922555280992,23.78331136039925,15.270435206242745
145,ESP012,1.0,145,-24.346057812997554,14.58022654543705,-3.8178293967685573,-3.1041838143450926,12.90454330701763,-2.060741726317069
146,ESP013,0.0,146,-47.82711773998739,7.207833914525176,-4.981728902685193,-1.5941463152872268,15.489931039211466,-2.8529324887170517
147,ESP015,0.0,147,-36.10106824533089,23.549709902808758,1.117571545042882,-8.440060706464886,-28.387204033082483,-33.79387131930356
148,ESP020,0.0,148,18.809606031521028,12.576645119570555,5.170083409884006,-8.454362238393234,-39.23675466481967,-18.288614947367066
149,ESP021,0.0,149,-24.17018745718603,-40.77770920542529,2.7201561309075197,-10.135730568695651,-30.240186514551713,-47.0529386492327
150,ESP022,0.0,150,19.979263666792047,61.38784972546264,-5.246364903322799,-0.16082646947284118,29.043923038798933,-0.9861102131448476
151,ESP023,1.0,151,-17.960055793639565,-15.404109571799141,-4.009465468886793,-2.872155858603535,17.97366101492184,0.7915764066138209
152,ESP024,0.0,152,-20.33779737963818,-7.893313243939933,-5.403678582709835,0.27138809016299525,24.287727418393988,12.816521262557387
153,ESP025,1.0,153,10.441986633183296,-2.6333656785585586,-5.807615888388215,-1.7753488530930364,28.730812057153283,-5.999068302004204
154,ESP027,1.0,154,-7.443849676626798,-26.420086189063476,-5.379927124050744,-0.6802742071932713,24.126571118241113,-6.165902419999412
155,ESP028,0.0,155,2.5044366425715388,-37.036967410359146,2.598224236073597,-7.146276783372188,-30.617869918554412,-27.7051949398958
156,ESP029,0.0,156,-12.804657845781085,50.67677067575425,-6.136144654718568,-3.0804809105972604,28.57512810194913,-7.4604174843099855
157,ESP031,0.0,157,5.793820123234959,22.556492128512886,0.9788591389118138,0.3381311773141267,-6.327267791773316,-4.1415432475815095
158,ESP032,0.0,158,-35.44600295936112,28.99930618802711,-2.2040419027286027,-3.8706657693482613,9.600772909761677,-11.249378554503956
159,ESP033,0.0,159,-15.552087033736477,9.047087444515668,1.6615913263740187,-8.679397929922438,-28.460843196636787,-33.800944284388365
160,ESP034,0.0,160,-7.334444352254364,-7.499611228632266,-2.5498379957637893,-4.84723074431726,-2.987065390668633,-10.209174481146867
161,ESP035,0.0,161,-10.594586955401617,-7.954799956256166,-5.8592051918744525,-4.54320186677627,22.10010222296479,-2.155074634833518
162,ESP036,0.0,162,-6.179643398111324,-9.17599018524186,-5.012784840793916,-2.4112758174277724,27.21196015029837,-7.457991308721091
163,ESP037,0.0,163,-27.161627213656537,-4.238190379408743,1.7130885419685262,-6.383835521926135,-30.3153957975621,-30.32211796225726
164,ESP038,0.0,164,117.00784081030187,20.352884914599116,-5.380764481118273,-2.9201612981822596,22.512706786279235,4.1809150735617
165,ESP039,0.0,165,109.46069800803453,63.42032260836225,-3.188831707614258,-5.46482426753157,1.2165801837350507,-9.248994194295271
166,ESP040,0.0,166,96.92271327842067,50.90183993409103,-3.1833024169912574,-5.3839784979505065,1.1743506683486054,-9.367143422427652
168,ESP044,0.0,168,35.54046920817339,42.25358571235324,-5.995097892754494,-1.5679723700282482,27.3853923792192,-2.2983365344483104
169,ESP046,0.0,169,-6.121597097163655,-8.409029257831538,-0.66093152681333,-7.814433808126292,-24.330217738692564,-31.708262332822432
171,ESP050,0.0,171,8.75022902947292,-28.502977446672713,1.1888671894920868,-8.511216731796944,-28.8388600151546,-33.230850549237786
172,ESP053,0.0,172,-28.97213671492811,38.55115053560624,15.320974108026455,-2.6196880284085315,-56.73797795484247,13.40786327454473
173,ESP055,0.0,173,-3.4602037553824805,-25.45747264900103,-3.8418311842116184,2.7601209038548706,25.55107921378708,5.264056108305795
174,ESP057,0.0,174,-0.3939159317269116,-32.91961835603721,-6.842841549424177,-1.606718179944739,28.261066875314885,-4.568638102441874
180,ESP064,1.0,180,-10.06382530180744,-35.1201235111628,-4.104010697016815,8.779848771643362,19.90246958348349,26.86381943230468
181,ESP066,0.0,181,-74.86024135649946,30.37533972299483,-2.83323134066728,13.82179057128274,24.81381561634389,7.848972686319897
182,ESP067,0.0,182,-117.20072967158373,0.9335342048965889,-6.389303774560401,-1.3235180917223701,25.82999667073909,-3.8098033271430367
183,ESP068,1.0,183,-129.68257682734543,49.24729463614998,17.441464517791818,0.9261150909419218,-58.81268235691667,22.853049585268792
184,ESP069,1.0,184,-110.29620890463758,36.03668898600978,-4.270544461033297,8.834423009476001,20.16399969380951,26.142029192218246
185,ESP070,1.0,185,-78.78913646794618,1.4268306458004858,6.477400896700547,-1.6083105394338668,-34.22949824416087,-24.473101702952054
186,ESP071,0.0,186,-81.9677566701806,-18.343584024622437,-3.263771287019016,14.06448514662096,24.96901099129955,6.349487719588382
187,ESP072,1.0,187,-93.2324760048679,14.080926249173702,-5.692670699789879,-4.860802668939412,24.347224179344554,-7.251192004010733
188,ESP073,1.0,188,-94.46838185993023,-4.296886701310109,-5.674026971865933,-4.7843821604097485,25.348272602127434,-8.891808342050254
189,ESP074,1.0,189,-99.91946383771062,0.9924580446491026,-3.146451398910764,13.833077339429018,24.93870261426522,6.750251823744961
191,ESP076,1.0,191,-36.140721314375604,32.553818459193266,0.5177873687346921,-9.712052401998243,-29.27577089619352,-23.17822747952587
192,ESP077,1.0,192,1.9988655730103781,-7.110662044581869,-2.5069453353149234,-5.525608407545476,-17.72169056870858,-21.31725498584205
193,ESP078,1.0,193,-17.88665559249387,26.471154616307896,-4.187218249020973,8.732287293696459,19.830923559508246,24.019043108869454
199,ESP088,1.0,199,-53.73320219475662,17.48886115294606,-3.449937583448692,14.15799170083092,24.876478688358265,6.572133453340605
200,ESP091,0.0,200,-31.229750813033867,20.33190410430766,17.3345508803919,0.43179309692213863,-58.29405632782974,21.29282475424199
201,F1659,0.0,201,51.32792771029975,39.83849829182711,3.200544109152977,-1.5385849563221417,-31.17528012890289,-26.21526282040196
202,F1688,1.0,202,13.226865678267577,-10.655908405565558,-6.0481357418600465,-4.466705659733097,27.364077138138594,-8.537939721785804
203,F1689,1.0,203,-6.976230384546677,-35.869598504086326,-6.073867066852311,-4.5551294849922765,27.238402013451736,-8.353202608140968
204,F1697,1.0,204,-3.738995712459349,27.055843185462177,21.07650661361494,3.5309939568086453,-61.92020898531817,29.51927561242853
205,F1706,1.0,205,-24.705892943637537,-17.840035747300554,-7.565425649197857,-1.6600230598292232,32.49658446106899,-8.41465050500117
206,F1712,1.0,206,-28.77597006354315,-5.263335692212166,-3.156278509519418,13.461429994243613,25.380009752854743,8.167382455563363
207,F1724,1.0,207,-24.459738936930016,13.461053435052909,21.404920766464546,3.5846005075032483,-63.13884588303145,31.577921366153205
208,F1727,1.0,208,42.76881842688291,5.980205260319018,-5.607161214880275,-3.131233935218388,28.15993624013029,-6.9163878673615855
209,F1741,1.0,209,-29.77930582409055,23.936473272462354,20.97782347972945,3.597048495274695,-63.532516951862405,32.71568830122315
210,F1745,1.0,210,-39.09661284043887,5.602274096577888,-2.400832317882193,12.346554256587293,25.381404788394438,6.004401364710802
211,F1746,1.0,211,-58.95332284544101,43.832298938722424,21.117852160146832,3.4057777975472376,-63.03388895346727,31.765985894083997
212,F1747,1.0,212,60.453713477481514,28.879459675747697,21.563178485592484,3.6957048265772077,-63.15178660644706,31.53881385052
213,F1748,1.0,213,40.615598417945115,10.045848657390852,-7.671788139929478,-1.5949155663899308,32.49613613330682,-8.110094636027519
214,F1752,1.0,214,33.52105564318347,1.4881913602928474,-3.7997045197581993,-0.5994647109419873,14.560376815326965,25.398346536155287
215,F1754,1.0,215,9.027369825283186,38.74152495548645,5.049949823460163,-8.819993905608715,-40.12922461859332,-14.7184043311068
216,F1757,1.0,216,-69.6036696128619,21.373553060798944,-3.905388992553948,-0.45627824223762836,19.79244117253806,15.427226466498283
217,F1758,1.0,217,96.5644112942881,42.782216570386055,-5.82384505677981,2.7628806642746984,25.484263161017164,6.472521887566913
