,Strain,Cef,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
118,CH5356,0.0,118,-7.118395852464417,-56.91813732177243,-20.857615838656933,-5.926294423822399,-133.25158541204334,59.66868163237685
119,CH5362,0.0,119,-1.5267242689166587,14.760990086776882,-16.10900110706409,1.9613654807020622,-70.61243301202599,-71.65350992231427
120,CH5363,1.0,120,144.07596013970337,-77.40082683390595,-18.681895136518378,-5.9980625877631,-162.37368814309457,-109.69072274203863
122,CH5432,0.0,122,133.69186744876004,-72.33148366344179,-21.432454501587394,1.4726118998837696,-156.52753503885,-110.23381228471034
123,CH5462,1.0,123,-28.866447157422552,-35.371449277222816,-10.110564302797657,16.636100206176398,205.50298567002332,-45.70053015778553
124,CH5464,0.0,124,-59.91877973628435,18.591848036702153,92.62225984456663,-18.05691224072406,317.76940014864255,-108.58721913571284
127,CH5531,1.0,127,-34.47771084449792,77.18823100931534,-17.187886195284975,2.884667675623454,-132.00563643538922,21.996154792473593
129,CH5550,0.0,129,54.522508602029525,38.55381952976764,-18.92214891142308,-0.6139552752952052,-87.01678142533684,-61.73846390278814
131,CH5591,1.0,131,80.14230898590263,-88.1358234104403,22.287505060902415,28.509927858377313,250.6603400673118,74.83538669071477
132,CH5596,0.0,132,-33.53263270743126,65.38865693437839,10.798364020900085,18.928764537674834,240.63451425242803,110.15689497985265
134,CH5621,1.0,134,-4.284537737901878,92.75815500963134,-18.2195109742413,-1.823985726413118,-155.50244135945266,-69.59008662097406
136,CH5666,1.0,136,-43.43472167147201,-33.342820958476544,92.65778435269178,-17.977415579664974,274.89152407976377,-91.75026052400298
138,CH5695,1.0,138,49.933918265543575,30.35032856612657,92.64115446580438,-17.85901213020455,276.4887327019768,-87.36386727024667
139,ESP002,1.0,139,-87.69429760167327,-70.88273626395964,9.522932706186332,6.531042845369157,197.4476053158964,-40.37391153740273
140,ESP003,0.0,140,137.0427723956548,-84.82299588129005,11.977564581710011,21.844499689367627,189.86093155218785,-1.6387356722830424
141,ESP004,0.0,141,-98.53357038592104,-25.939294325948513,4.389663059604555,23.99852441639167,190.0926339197566,-1.856185227189779
142,ESP006,0.0,142,-60.65082298062694,-1.1668808626842477,-18.207604591049268,-4.0524161360489845,-162.02465808359258,-37.66359420831138
143,ESP009,0.0,143,-62.67477656781712,0.2237344052587336,-18.414218097867376,-8.60165797113557,-146.1351825958921,16.948140420151834
144,ESP011,0.0,144,126.7316465671597,-106.51349932855383,-27.975458555178715,-19.56694922064383,-45.11071343918489,84.0603307856524
145,ESP012,1.0,145,-63.88990549747864,-16.921201194779414,-14.607673703725402,8.634507086939312,-43.38794287460369,9.194685247645806
146,ESP013,0.0,146,-96.31095163348557,-1.183060492780228,-16.236246722694457,5.484475654596773,-49.16776132922009,31.39664511423473
147,ESP015,0.0,147,-70.48589927915685,-42.52411616349892,5.005271563421904,18.28193793341059,189.7741985964703,-12.329483244537931
148,ESP020,0.0,148,42.044673078283274,-35.34857561467543,22.08512564401391,27.301627439586284,256.55713696982605,89.1706736847952
149,ESP021,0.0,149,-22.047850424363993,103.20576884710253,-3.0569089483081004,40.945873884626835,211.78781080212403,62.43379747493178
150,ESP022,0.0,150,64.310820696876,-101.9522322074717,-19.08318845585007,-9.313335779695551,-162.26914367318548,-70.64311294421854
151,ESP023,1.0,151,-5.703706534484601,51.89168212890585,-13.500943424896047,6.535751869167381,-44.47904022960343,4.725758550796938
152,ESP024,0.0,152,-62.89142980856915,48.73473007891943,-26.150235369206552,-17.90558737204876,-47.54697920891179,87.71278849109409
153,ESP025,1.0,153,23.026665812895477,14.902568874082547,-18.803226556234083,-8.664234663539938,-144.24327187913622,13.230809259915972
154,ESP027,1.0,154,9.713794107683347,64.86831061527275,-18.576436327729304,2.707582169313346,-136.4128340705246,1.8383436206098047
155,ESP028,0.0,155,1.8658787923917841,77.60923300988492,10.224111963207296,18.04529209019494,243.5517126766136,119.03758745095296
156,ESP029,0.0,156,-23.65527968346392,-108.23791177820269,-18.89965804704138,-6.424477117328473,-158.8700114822991,-93.79476280508038
157,ESP031,0.0,157,1.6860530388982202,-70.78526014426832,-15.989711399560191,10.35274689707276,51.54488015018825,67.7148699542045
158,ESP032,0.0,158,-73.69339919582455,-90.4407359247075,8.36792334991527,-4.1645288411863355,-157.7663789960811,-85.55370258705729
159,ESP033,0.0,159,-35.408545363663436,-19.271150850692905,9.525529001456581,17.886782921197454,189.6518336401738,-12.636928512674348
160,ESP034,0.0,160,-7.517121473956612,5.366705466492189,5.685698944348114,5.8020334988917845,-61.21282560115697,-70.50279542987752
161,ESP035,0.0,161,-24.860110366942372,30.842149663244825,1.1635877666908419,-13.348490346184393,-66.56023938702789,-72.72384809461376
162,ESP036,0.0,162,-14.318653332067555,31.275876428561112,-13.317894160685979,-1.9714746801134038,-84.59513232108173,-60.859169775576376
