,Strain,Cip,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
23,CH2678,1.0,23,-72.28504022547271,20.538559422552375,-20.454163335031897,8.778967368198298,-114.00535059149449,-28.48137877128527
24,CH2680,0.0,24,42.620211004984675,-46.13104049185014,-22.522365132184248,2.2379934865221,-86.54156422505336,-59.6142392508468
25,CH2682,0.0,25,-56.30369529955435,-51.06778393066861,-20.32678949153276,-12.401306900260797,-128.04618800674734,112.51352867535192
26,CH2685,0.0,26,-115.27882489594069,-82.8930861917612,-11.730061547619908,-11.32790023041771,173.10027866714694,-91.71502616282744
27,CH2687,1.0,27,-28.205825261686076,18.0136782998234,24.30876699415427,17.58427611421509,197.17438207802303,-64.84244994838981
28,CH2690,0.0,28,-189.19597262791578,-3.041841170255851,-22.011548917279576,-12.015508585391332,-141.94730938108225,-49.39035189019944
29,CH2698,1.0,29,30.78538826014255,-74.99931276389862,-22.26180417130155,-14.145718298388987,-230.2904295382642,-111.80921168136774
30,CH2699,1.0,30,31.462254339185563,-14.194173394557893,107.65553497687978,10.783491794832466,346.53152597246304,19.93124261821139
31,CH2705,1.0,31,-54.80606455813349,-9.996244620284799,11.98488335080771,1.7587037098409026,249.8365157330618,-63.39212870064704
32,CH2706,1.0,32,-6.713511608985581,-77.12300765292294,-22.47017510620008,-15.913371007681043,-126.95640001252575,5.781823134330229
33,CH2707,0.0,33,-182.57923124395396,13.752168065109865,-19.309223404594363,-10.111558624273407,-174.1138815622528,-84.14189450693729
34,CH2713,0.0,34,-176.14106678239256,77.66483876265607,15.349669251185897,-17.323084584290665,126.01231304905274,-118.48587833219808
35,CH2718,0.0,35,-76.29387595579851,-12.337604150945644,-13.721866684258366,-37.038528607532534,-160.8457912143394,-47.39420700533112
36,CH2724,0.0,36,19.775273667395858,-41.28832920330156,-13.121202939570525,-4.174433346421263,-108.6198739600345,-12.475913126593063
37,CH2730,0.0,37,-115.59034053934666,3.9614076687481994,3.2399226250188566,4.763926169008725,180.91048035248124,-35.988667069742554
38,CH2734,1.0,38,-38.2386557670821,-56.16394597855599,6.835512313079187,-29.08053623694318,133.20804021299253,35.06838324946808
39,CH2735,1.0,39,-26.499607733957028,-93.90431319953943,-20.34277680800675,-9.59813110862929,-176.71813790873964,-42.54398605113108
40,CH2747,0.0,40,-45.94811141003317,-90.9976729003557,-45.174758517074274,-17.130889966373697,-183.8560701853967,84.53852901189698
41,CH2748,1.0,41,0.42111298534181635,72.49924746271071,86.9955607325815,19.41706899848321,310.8832390180964,70.52955059261258
42,CH2756,0.0,42,83.08298574290492,-31.76389447079591,-20.649232259948484,-9.791245979663566,-177.9520208015745,-48.754825282501585
43,CH2764,0.0,43,0.4458610140324597,-73.73756480950739,-4.35650346118729,20.506963768427518,-170.54825598144902,-69.23485196947695
44,CH2824,0.0,44,-33.609865800314005,5.657337919234488,-5.326432734654264,-2.436925433252868,167.6046030899249,-113.04496869431036
45,CH2829,0.0,45,-94.64903268981088,-129.05212692815232,3.332840772048496,-26.57174521825012,133.6439686614784,-125.5611749366276
46,CH2848,0.0,46,-21.01425185876994,-18.383090678057954,-3.100990364562517,-5.856397734209443,-119.35583849156522,-36.17741047075162
47,CH2860,1.0,47,-78.73244338414044,-37.18816234399634,-12.534267459779349,-7.799181747184616,-131.11638856943674,-64.85173457995272
49,CH2922,0.0,49,26.938981572420595,-83.5771264660271,-7.341011680469393,-31.65685206156653,135.39236736667203,53.962130459220546
50,CH2939,0.0,50,-65.18954293649786,-12.548814040191731,-17.103569067100903,-7.7948559837389375,-115.25227926722626,-0.3918882461647056
51,CH3173,1.0,51,84.34132878382655,55.88329161475696,89.92031831031164,7.729129155397634,342.5083537041851,36.38790831896501
52,CH3177,0.0,52,3.2102616650701434,0.5732851236331058,-17.16353924305497,-7.513261804954918,-166.72398336986646,-75.17601192111059
53,CH3290,1.0,53,47.976469454012346,-12.994278628529639,65.57136421028387,24.235316035714295,306.280019777281,74.00870066977846
54,CH3325,0.0,54,-27.5075973759767,-31.81387157149194,-20.947605062762,-13.847536697276524,-132.22873898788959,79.89010814246399
55,CH3462,0.0,55,49.229279878981714,1.1506279352648252,8.060158185700752,-23.00210600607331,126.61609717693901,-129.38356033987986
56,CH3466,1.0,56,-64.3723750435866,-93.17340069516938,-19.364664273941546,-13.483753755127296,-141.0651552325017,-69.19135778909897
58,CH3549,0.0,58,-28.512674567257896,-44.635583152839786,-21.413559803458334,12.033611300189898,-171.4590209812185,-89.03625262275582
59,CH3570,1.0,59,85.18428928027147,-69.66819955623431,-23.464123630135113,-16.779209594972137,-144.70772153135377,-59.33485888772983
60,CH3613,1.0,60,-16.849622466705096,-46.313056150392526,-21.52690546115486,-14.669838919664718,-223.50034869250996,-104.25076172293998
61,CH3648,1.0,61,-0.16760388088605102,3.4456798125323833,107.35507034327188,10.770431255517138,343.02812005786853,12.87466718387853
62,CH3797,1.0,62,176.95589105021415,44.88171705947614,-15.40422922514723,-12.507690326583946,190.52345749480412,-76.68032370978422
