,Strain,Tob,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
54,CH3325,0.0,54,16.57346858075548,-33.95041009304528,-17.384797005519232,11.351061161366308,-121.49345857463882,-58.79201339935798
55,CH3462,0.0,55,-55.84656710149624,5.380269554243478,12.529639726907428,4.4330140054341935,142.500066140566,138.51734270282583
56,CH3466,0.0,56,59.00786324312911,-87.28155323256689,-32.718654329853244,-8.14233029426892,-119.45064889478435,98.99294917961346
57,CH3484,0.0,57,-80.31877839050574,9.707421899555598,-26.3833235271277,6.599414823668387,-167.4097191483398,7.394394274649729
58,CH3549,0.0,58,20.246649487591164,-44.3640621356081,-14.3840097702789,-19.27550244693831,-164.33789897118228,77.90091256636197
59,CH3570,1.0,59,-82.58667406732056,-63.67872937690952,-44.04165154658133,17.468750635449517,-124.40623251531017,96.19873324899504
60,CH3613,1.0,60,6.101302530808305,-48.32732728073736,-32.53896874223761,-10.701894455192372,-218.20671006564046,93.76818242651014
61,CH3648,1.0,61,-2.14960578405583,14.7084196548368,112.9647545897297,7.1891638973908565,355.7853290966574,-43.34082979290973
62,CH3797,0.0,62,-181.71164717819465,44.04790883802565,-6.5304761821526975,11.24763752449378,199.67448113327862,70.79131733699835
63,CH3882,0.0,63,-184.15730394959658,15.58553147988289,-30.21810894234976,-8.261535300239474,-126.53853950833428,101.28198557767273
64,CH3906,0.0,64,-143.05175285393452,-35.900145979306934,-25.428671110324824,5.788585665976427,-163.85314396438952,5.429181047038665
65,CH4035,1.0,65,-107.20283996619837,67.65987675305847,111.2515525814264,7.079733202864095,355.39545801890745,-68.88500611198806
66,CH4083,0.0,66,-111.22818682998488,-48.30448159281605,-10.91651719614165,-5.39138741007626,-123.62671707375588,14.698139432386409
67,CH4411,1.0,67,-111.18583073518786,60.53408155898469,-14.13981987762066,-0.19752150924802347,-121.19810909091103,-80.28416028987036
