,Strain,Mer,Index,genexp_1,genexp_2,gpa_1,gpa_2,snps_1,snps_2
185,ESP070,1.0,185,-162.4836910574605,10.975564097971933,33.5444514367191,12.23088653449285,241.02433260947188,117.09234137389532
187,ESP072,1.0,187,-155.47682142348233,45.613418215435594,-13.905654302286427,-7.952511721748537,-161.299456692013,-92.09950411550379
188,ESP073,1.0,188,-175.67662869416378,-8.965228695141153,-13.688011574629783,-8.95448195239856,-160.52476771375592,-92.56066699888578
189,ESP074,1.0,189,-168.2394305836895,3.4922190477092667,-48.01225295586097,54.46925835615123,-136.50552435113877,88.45892128314789
192,ESP077,1.0,192,12.919990141231526,-64.35261590786472,-26.49266954540984,-25.977216479171418,93.45683767814262,-57.38487835246278
193,ESP078,1.0,193,-52.48176237093978,61.60069341294687,-32.492586372172134,15.178614129873903,-109.62493510300271,96.02725022968771
194,ESP079,1.0,194,-95.0581692892211,48.5763298269464,-50.85421189662307,59.99675385931968,-132.2199037244045,101.10907185263841
195,ESP081,1.0,195,-155.68558224350275,28.474156015806418,-19.676990807092494,2.719876412140258,-163.31649202954986,-100.59533354176928
196,ESP082,1.0,196,-119.86806349322086,50.890069256194465,-50.94508711848967,60.115761395153044,-135.17495077035633,93.6270893491849
197,ESP083,1.0,197,-97.11373815167872,65.38786885810771,-50.60133883199105,60.41174262597625,-134.82505222121117,94.92226254893096
198,ESP084,1.0,198,-114.14161919743125,70.77173165190318,-33.14045528194362,13.88313105644989,-108.70555751463061,103.2161980216656
199,ESP088,1.0,199,-96.60178295628378,64.3474400784033,-50.79065877138427,61.891480734653406,-135.39993522851333,93.67349893168655
200,ESP091,1.0,200,-68.9786213263947,63.399871968082806,69.49941684845237,14.43499249296946,272.0131002298966,-42.40365755005485
202,F1688,1.0,202,48.30491463060693,-32.71969565496667,-1.3769150963999537,-10.4818346709883,-122.71083199173925,-59.08153129001379
203,F1689,1.0,203,14.09028914769035,-59.12449137761313,-1.4744887591282085,-10.385957915296936,-123.01837795603875,-56.80938590325676
204,F1697,1.0,204,-16.921148044001416,93.12337462095059,70.9787299498829,5.629972130989232,278.85324440431697,-45.573921007882596
205,F1706,1.0,205,-23.566262294026128,-39.48731968540354,-21.33351964931614,-21.19937776379533,-174.3742503297292,-40.103450958074625
206,F1712,1.0,206,-49.449943120785804,-4.103311131341228,-49.19469055108888,59.89158120266686,-172.68532047608187,95.76407550327013
207,F1724,1.0,207,-43.56936299217182,60.99748119605151,79.64535243919607,4.277668443135025,277.4843543002297,-47.80107589409246
208,F1727,1.0,208,102.91787117704182,1.9627597727787627,-20.172975672544688,-2.6508131092588965,-156.60068806452205,-104.906545993606
209,F1741,1.0,209,-53.735437611574575,96.5876852336369,80.55988304741757,4.722738249893918,315.72241924061217,-53.95534337243443
210,F1745,1.0,210,-67.17854614606833,7.39508317408682,-49.32539589711733,63.87192565637242,-177.39955848094428,95.21814387795625
211,F1746,1.0,211,-91.80199790051056,100.98349210908343,70.84689371326029,5.538680383501594,278.99045998165417,-66.23315637343306
212,F1747,1.0,212,82.29724862942699,85.819893828693,80.08151589544426,5.366410571422681,278.6127628758998,-66.1144359527784
213,F1748,1.0,213,82.41794560644401,21.844914738395758,-21.355183097630043,-20.891228973402555,-175.12860903810858,-39.751294742663774
214,F1752,1.0,214,60.738519408031074,7.914886669981926,-15.218547041318258,5.60124574569604,-136.0459356340362,17.193054005016055
215,F1754,1.0,215,22.66354716345218,94.58707373018866,8.36237294892714,-5.6104241803567865,254.74027972413379,92.86920830983473
216,F1757,1.0,216,-121.16311367809486,49.496087381410916,-17.851012671720742,1.8096836357053514,-162.98788722646594,-86.8160859975825
217,F1758,0.0,217,160.65863400753625,80.0162853955688,-22.562296273497164,-17.75828108264958,-171.55214321725492,-38.89459148107844
218,F1759,1.0,218,-45.84533934574254,-80.62840624182105,-15.14034355484882,0.295088253166007,-152.39368532016135,-124.3833602982739
219,F1760,1.0,219,68.52538459749239,43.57622944093837,-15.350506192862799,6.648188648415139,-135.96729008326963,14.457109276840397
220,F1763,0.0,220,64.68087567125109,-2.370985943445113,-20.828302248394454,-0.032585002597637074,-166.18290811715494,-86.19428316123123
221,F1764,1.0,221,28.414499421416807,-37.04342696027202,-16.185821875057606,2.332347260398262,-70.01323994010079,-76.79140090644923
222,F1775,1.0,222,-25.253781536637693,-46.43365091699057,-21.430381411293222,-4.836393217910995,-159.89489277040911,-106.9611102427829
223,F1787,1.0,223,46.261590681830775,-12.938154064172823,-17.5411236818731,-14.550348690145654,-151.53343440284394,-76.32043284682582
224,F1789,1.0,224,-16.113856494641322,75.23778382653427,-15.071157155490152,5.808485708449339,-139.58856007105342,-1.5379116268482063
225,F1795,1.0,225,-40.99188529329777,73.12803873625931,80.68708702752899,4.47105873848863,298.99255538673174,30.034552011717743
226,F1796,1.0,226,-54.43517194913544,-4.747480493167595,-49.18446515676509,62.37850430426059,-131.7334908046527,102.45499539552357
227,F1798,1.0,227,-68.78241625917636,-6.487170810414409,-49.42013510833083,61.966561860887275,-173.09416879173796,95.54338417009524
229,F1801,1.0,229,-113.25909986375397,77.99251296921206,17.16910908759767,5.00687172474331,231.57256276098894,132.57939827606313
230,F1810,1.0,230,2.5837864908695347,96.84098433872903,80.06513686192166,4.989741863036524,280.7248082262746,-58.18170330406777
232,F1821,1.0,232,-91.44098698077919,77.1216486671277,-15.322076626464188,5.412719642029122,-135.8318638743945,17.228296884768422
233,F1823,1.0,233,34.7370717059359,40.01927858480679,-45.95891878048644,-14.26706899386003,-205.01392234948898,65.90948708451812
234,F1853,1.0,234,-0.11780444025576335,55.78524094255311,87.63945878216616,7.028258518278979,275.60194327086566,-46.08943035466795
236,F1864,1.0,236,-100.75999494806234,23.569777413266465,79.44803264714237,3.837979558188985,316.6196740446087,-59.09836846914202
237,F1869,1.0,237,123.0434896359879,19.620647943373704,81.43332619990261,3.4681013067771995,317.97614862284667,-59.67574442907159
238,F1880,1.0,238,121.65089638345668,-66.11081499262266,-27.02623212635837,10.199985200200123,-143.2463086500353,99.8125850910519
